Sat Oct 17 08:23:19 2020 Fold 0, Epoch 1, lr: 0.0000100, train loss: 0.68974, valid loss: 0.69242, acc: 56.1661, auc: 0.493449
Sat Oct 17 09:59:04 2020 Fold 0, Epoch 2, lr: 0.0001000, train loss: 0.49528, valid loss: 0.64183, acc: 86.2637, auc: 0.502380
Sat Oct 17 11:33:48 2020 Fold 0, Epoch 3, lr: 0.0001000, train loss: 0.38456, valid loss: 0.55031, acc: 86.2637, auc: 0.504724
Sat Oct 17 13:08:28 2020 Fold 0, Epoch 4, lr: 0.0000973, train loss: 0.36247, valid loss: 0.45384, acc: 86.2637, auc: 0.498171
Sat Oct 17 14:43:12 2020 Fold 0, Epoch 5, lr: 0.0000940, train loss: 0.35668, valid loss: 0.39675, acc: 86.2637, auc: 0.498856
Sat Oct 17 16:19:04 2020 Fold 0, Epoch 6, lr: 0.0000895, train loss: 0.35316, valid loss: 0.38341, acc: 86.2637, auc: 0.493574
Sat Oct 17 17:54:54 2020 Fold 0, Epoch 7, lr: 0.0000839, train loss: 0.35189, valid loss: 0.36496, acc: 86.2637, auc: 0.497022
Sat Oct 17 19:27:41 2020 Fold 0, Epoch 8, lr: 0.0000773, train loss: 0.35162, valid loss: 0.36051, acc: 86.2637, auc: 0.501880
Sat Oct 17 21:03:08 2020 Fold 0, Epoch 9, lr: 0.0000701, train loss: 0.34935, valid loss: 0.35709, acc: 86.2637, auc: 0.484521
Sat Oct 17 22:38:19 2020 Fold 0, Epoch 10, lr: 0.0000623, train loss: 0.34986, valid loss: 0.36258, acc: 86.2637, auc: 0.499607
Sun Oct 18 00:13:36 2020 Fold 0, Epoch 11, lr: 0.0000541, train loss: 0.34876, valid loss: 0.35653, acc: 86.2637, auc: 0.491805
Sun Oct 18 01:48:55 2020 Fold 0, Epoch 12, lr: 0.0000459, train loss: 0.34722, valid loss: 0.35445, acc: 86.2637, auc: 0.502786
Sun Oct 18 03:23:48 2020 Fold 0, Epoch 13, lr: 0.0000377, train loss: 0.34585, valid loss: 0.35321, acc: 86.2637, auc: 0.514335
Sun Oct 18 04:58:58 2020 Fold 0, Epoch 14, lr: 0.0000299, train loss: 0.34411, valid loss: 0.35488, acc: 86.2637, auc: 0.504813
Sun Oct 18 06:33:09 2020 Fold 0, Epoch 15, lr: 0.0000227, train loss: 0.34274, valid loss: 0.35522, acc: 86.2637, auc: 0.504490
Sun Oct 18 08:07:58 2020 Fold 0, Epoch 16, lr: 0.0000161, train loss: 0.34058, valid loss: 0.35756, acc: 86.2179, auc: 0.500710
Sun Oct 18 09:42:10 2020 Fold 0, Epoch 17, lr: 0.0000105, train loss: 0.34028, valid loss: 0.35648, acc: 86.2332, auc: 0.507494
Sun Oct 18 11:17:10 2020 Fold 0, Epoch 18, lr: 0.0000060, train loss: 0.33630, valid loss: 0.35762, acc: 86.2103, auc: 0.503597
Sun Oct 18 12:52:14 2020 Fold 0, Epoch 19, lr: 0.0000027, train loss: 0.33883, valid loss: 0.35827, acc: 86.2103, auc: 0.502039
Sun Oct 18 14:27:38 2020 Fold 0, Epoch 20, lr: 0.0000007, train loss: 0.33761, valid loss: 0.35853, acc: 86.1951, auc: 0.501760
